一级分类(清洗后中文器械名),二级分类(中观大类),三级分类(宏观大类),关联器械对数,死亡事件数,伤害事件数,故障事件数,事件总数
Luer-Lok活塞注射器,注射器,注射与输液设备,1,0,0,121,121
Mahurkar植入式血液透析导管,血液透析导管,血液净化设备,1,1,4,116,121
MBT骨水泥型龙骨胫骨托5号,膝关节胫骨托,骨科植入物,1,0,120,1,121
Monarch III 人工晶体植入系统（C型卡 cartridge）,人工晶体植入器,眼科手术器械,1,0,15,106,121
ON-Q Select-A-Flow疼痛缓解系统（400ml，2-14ml/hr）,弹性输液泵,输液与疼痛管理设备,1,0,10,111,121
OsseoSpeed 5.0 S 9mm牙种植体,牙科种植体,口腔植入物,1,0,121,0,121
Palindrome 19/36 带槽透析导管套件,血液透析导管,血液净化设备,1,0,1,120,121
Pelvicol 6x8cm 盆底补片,盆底修复补片,外科补片,1,0,119,0,121
Perciva ICD DR 双腔植入式心律转复除颤器,植入式心律转复除颤器,心脏节律管理设备,1,1,87,33,121
Plum A+ 驱动版输液泵,输液泵,输液与注射设备,1,0,2,119,121
Polaris Loop 输尿管支架,输尿管支架,泌尿科植入物,1,1,9,111,121
PowerLED II 手术灯,手术灯,手术照明设备,1,0,2,119,121
Prismaflex ST100 高通量透析器,透析器,血液净化设备,1,0,0,121,121
PT2 导丝,导丝,介入导管附件,1,8,73,39,121
BD导管（未指定）,导管,介入/血管内器械,1,0,36,85,121
URETEX经闭孔尿道悬吊带套件,盆底修复/悬吊系统,妇科/泌尿外科植入物,1,0,121,0,121
Venacure NeverTouch静脉内激光治疗光纤,静脉激光治疗光纤,血管内激光治疗系统,1,0,44,76,121
VITROS 5.1 FS生化分析仪,临床生化分析仪,体外诊断设备,1,0,1,120,121
Echelon 45白色钉仓（可植入吻合钉）,吻合器/钉仓,外科手术器械,1,0,14,107,121
股骨髁假体,膝关节假体组件,膝关节假体,3,2,117,1,120
聚丙烯外科补片,外科补片/网片,外科植入物,2,0,120,0,120
背根神经节刺激电极,神经刺激电极,神经调控设备,2,0,120,0,120
颈椎后路螺钉系统,脊柱内固定系统,骨科植入物,2,0,82,38,120
Simon镍钛合金腔静脉滤器,腔静脉滤器,血管介入器械,2,0,63,55,120
硅胶涂层福莱导尿管,导尿管,泌尿科导管,1,0,7,113,120
骨内牙种植体（颧骨种植体）,牙种植体,口腔种植系统,1,0,120,0,120
骨内牙种植体（CM Drive）,牙种植体,口腔种植系统,1,0,106,14,120
骨内牙种植体（CM Titamax EX）,牙种植体,口腔种植系统,1,0,113,7,120
除颤监护记录仪,除颤监护仪,急救与生命支持设备,1,7,0,107,120
热成型硬软合板护齿套,口腔护具,口腔防护与矫治器,1,0,120,0,120
经皮腔内血管成形术球囊扩张导管,球囊扩张导管,血管介入导管,1,0,4,116,120
植入式心脏再同步治疗起搏器,心脏再同步治疗起搏器,心脏植入式电子设备,1,11,72,37,120
髋关节股骨柄（带领）,髋关节假体,骨科关节植入物,1,0,116,4,120
植皮刀片,植皮刀,皮肤移植器械,1,0,58,62,120
经皮心脏消融导管（房颤治疗）,心脏消融导管,心脏电生理导管,1,2,90,28,120
锁定螺钉（Delta Xtend系统）,骨科内固定螺钉,骨科内固定系统,1,0,94,26,120
植入式吻合钉,吻合器/钉,外科吻合器械,1,1,6,113,120
腹腔镜穿刺器,腹腔镜穿刺器,腹腔镜手术器械,1,3,19,98,120
10.5cm角度附件（电动钻）,电动钻附件,骨科动力工具,1,0,0,120,120
3I T3锥形种植体 5/4×11.5mm,牙科种植体,口腔植入物,1,0,114,6,120
7700型X射线透视系统,X射线透视设备,医学影像设备,1,0,0,120,120
罗氏卓越型血糖仪,血糖监测系统,体外诊断设备,1,0,38,82,120
AcrySof IQ一片式人工晶体（含UltraSert植入系统）,人工晶体,眼科植入物,1,0,95,25,120
Affinity Four产床,产床/分娩床,医院病床及家具,1,0,0,120,120
Agilia SP MC WiFi输液泵系统,输液泵系统,输液治疗设备,1,1,6,113,120
Alinity S HBsAg检测试剂盒,肝炎检测试剂,体外诊断试剂,1,0,100,20,120
一体式铝制便盆椅（每箱4个）,卫生护理用品,患者护理设备,1,0,0,120,120
角度扩孔器套筒 10号,手动手术器械,外科手术器械,1,0,0,120,120
角度扩孔器套筒 20号,手动手术器械,外科手术器械,1,0,0,120,120
AS LVP 20D 3SS CV血管内输液管路,输液管路/给药装置,输液治疗设备,1,0,1,119,120
ASR单髁股骨植入物 53号,膝关节植入物,骨科植入物,1,0,120,0,120
Atlas DR植入式心律转复除颤器,植入式除颤器,心脏节律管理设备,1,2,78,40,120
巴德防反流尿袋,引流袋/尿袋,泌尿引流系统,1,0,15,105,120
珠穆朗玛脊柱系统-椎弓根螺钉系统,脊柱内固定系统,骨科植入物,1,2,87,28,120
股骨头打入器-膝关节假体,骨科手术器械,骨科植入物及工具,1,0,8,112,120
Flexitrunk婴儿鼻导管,呼吸管路及配件,呼吸治疗设备,1,0,0,120,120
Fortrex 0.035 OTW外周经皮腔内血管成形术球囊导管,外周血管介入球囊导管,血管介入器械,1,0,22,98,120
Heartstring III近端封堵器,血管封堵系统,心血管介入器械,1,0,3,117,120
HeartWare心室辅助系统-控制器2.0,心室辅助装置,循环支持设备,1,0,6,114,120
Matrix长持套筒,骨科手术器械,骨科手术工具,1,0,3,117,120
HST III系统(4.3mm)血管夹,血管夹/钳,血管手术器械,1,0,4,116,120
IceForce 2.1 CX 90度冷冻针,冷冻手术针及附件,冷冻治疗设备,1,4,47,69,120
Immulite 2000 XPI人绒毛膜促性腺激素(HCG)检测试剂,激素检测试剂,体外诊断试剂,1,0,0,120,120
TSV MCOL MG 4.7mm×8mm牙种植体,牙种植体,口腔植入物,1,0,108,12,120
Indigo系统分离器8,血栓抽吸系统配件,血管介入器械,1,3,31,86,120
LSLF延长管带夹子,输液延长管,输液管理耗材,1,0,0,120,120
Lupine钻头,关节镜手术器械,骨科内窥镜手术工具,1,0,0,118,120
Merge Hemo血液动力学监测系统,血液动力学监测系统,患者监护设备,1,1,0,119,120
MF5-10420骨内根形种植体,牙种植体,口腔植入物,1,0,120,0,120
Microvasive金质电凝探头,内窥镜电外科探头,内窥镜手术器械,1,1,7,101,120
NobelParallel CC TiUltra RP 5.0×18mm骨内牙种植体,牙种植体,口腔植入物,1,0,116,4,120
骨科手术规划及器械导板系统,骨科手术导航/导板,骨科手术辅助系统,1,0,119,1,120
患者连接器-心律失常检测报警系统,心律失常检测报警系统,心脏监测设备,1,0,4,116,120
心脏再同步治疗起搏器（CRT-P）,心脏起搏器/再同步治疗装置,心脏节律管理设备,1,0,59,61,120
PowerPort植入式输液港（单腔8F）,植入式输液港/导管系统,血管通路装置,1,5,92,23,120
Proximate可重复装钉直线切割吻合器（带安全锁）,直线切割吻合器,外科吻合器,1,0,15,105,120
RAD-5脉搏血氧仪,脉搏血氧仪,患者监护设备,1,0,0,120,120
Reflex植入式起搏脉冲发生器,心脏起搏器,心脏节律管理设备,1,1,65,54,120
瑞蓝（Restylane）真皮填充剂,皮肤填充剂/注射用植入物,美容整形植入物,1,0,118,2,120
Seven内六角种植体（直径3.75mm，长度10mm，无斜面）,牙科种植体（根形）,牙科植入物,1,0,120,0,120
Sigma 300 VDD植入式脉冲发生器,心脏起搏器,心脏节律管理设备,1,3,103,14,120
Solo2便携式制氧机,便携式制氧机,呼吸支持设备,1,1,0,117,120
Taxus Liberte紫杉醇洗脱冠状动脉支架系统,药物洗脱冠状动脉支架,冠状动脉介入器械,1,1,36,83,120
泰尔茂胸骨锯II,胸骨锯/胸骨切开器械,外科动力工具,1,0,1,119,120
ASR全髋臼杯（尺寸52）,髋臼杯/髋臼假体,髋关节植入物,1,0,119,1,120
ASR全髋关节股骨假体（尺寸49）,全髋关节置换系统,髋关节植入物,1,0,119,1,120
未知品牌LCS膝关节胫骨垫片,膝关节胫骨垫片/衬垫,膝关节植入物,1,0,110,10,120
未知型号DePuy髋臼内衬,髋臼内衬/衬垫,髋关节植入物,1,0,119,1,120
未知品牌乳胶测温导管,测温导管/温度感应导管,泌尿/介入导管,1,0,3,117,120
未知品牌植入式吻合钉,植入式吻合钉/钉,外科植入物,1,1,34,85,120
V40钴铬钼LFIT股骨头（36mm/-5）,髋关节股骨头假体,髋关节植入物,1,0,115,5,120
植入式心脏复律除颤器（3.2连接器）,植入式心脏复律除颤器,心脏节律管理设备,1,1,1,118,120
血糖试纸,血糖监测试纸,血糖监测器械,1,0,11,109,120
心脏射频消融导管,心脏消融导管,心脏电生理器械,2,21,63,35,119
输液泵/控制器,输液泵,输液管理设备,2,6,25,88,119
非骨水泥型髋关节股骨柄,髋关节假体,骨科植入物,2,0,113,6,119
心脏除颤器,除颤器,心脏急救设备,2,0,1,118,119
5mm腹腔镜取物系统,腹腔镜手术器械,内窥镜手术器械,1,0,0,119,119
钛合金骨内牙种植体,牙种植体系统,口腔科植入物,1,0,95,24,119
达芬奇Xi手术系统,手术机器人系统,内窥镜手术器械,1,6,21,92,119
小肠电子内窥镜,消化内窥镜,内窥镜,1,0,71,48,119
临时颈动脉栓塞保护导管,栓塞保护装置,血管介入器械,1,1,13,105,119
基台螺丝,牙种植体配件,口腔科植入物,1,0,4,115,119
手术钻头保护套,骨科手术附件,骨科手术器械,1,0,5,95,119
超声刀腹腔镜凝血剪,超声手术器械,外科手术器械,1,1,8,110,119
左心室辅助系统电池组,心室辅助装置,心脏辅助设备,1,0,5,114,119
除颤监护仪,除颤器,急救设备,1,0,0,119,119
血管夹系统,血管夹,血管手术器械,1,0,8,111,119
4.2mm三刃钻头（快换/针尖/145mm）,骨科手术钻头,骨科手术器械,1,0,46,73,119
530G胰岛素泵（阈值暂停功能）,胰岛素泵/人工胰腺系统,胰岛素给药装置,1,5,42,72,119
Acuity X4直型植入式电极导线,植入式心脏电极导线,心脏节律管理设备,1,0,60,59,119
Affinity中空纤维氧合器,体外循环氧合器,体外循环设备,1,2,2,114,119
Altrx中性髋臼内衬（内径32mm/外径50mm）,髋臼内衬,髋关节假体,1,0,118,1,119
Arrow三腔中心静脉导管（7Fr×20cm）,中心静脉导管,血管内导管,1,0,6,113,119
Atrium iCast覆膜支架,覆膜支架,血管支架,1,0,112,5,119
Attune胫骨近端对线器械,膝关节手术对线器械,骨科手术器械,1,0,0,119,119
AutoSoft 90输注管路,胰岛素泵输注管路,胰岛素给药装置,1,0,4,115,119
Baxter LifeSpan ePTFE人工血管,人工血管,血管移植物,1,0,119,0,119
BD Phoenix药敏检测板（NMIC-306）,微生物药敏检测板,微生物检测系统,1,0,0,119,119
BD Vacutainer ACD-A溶液采血管,真空采血管,血液采集设备,1,0,3,116,119
BD Vacutainer K2E（EDTA）10.8mg Plus采血管,真空采血管,血液采集设备,1,0,0,119,119
BD Vacutainer K2E Plus采血管,真空采血管,血液采集设备,1,0,0,119,119
BD Vacutainer Safety-Lok安全型采血针套装（带预装持针器）,安全型采血针,血液采集设备,1,0,1,118,119
Bellavista呼吸机,有创呼吸机,呼吸支持设备,1,1,24,94,119
BiPAP Pro双水平无创呼吸机,无创呼吸机,呼吸支持设备,1,7,46,65,119
CADD-Legacy Plus输液泵,输液泵,输液管理设备,1,0,4,115,119
心肺转流温度控制器,心肺转流系统,体外循环设备,1,2,2,115,119
高频振荡呼吸机,高频呼吸机,呼吸设备,1,0,3,116,119
新型冠状病毒抗原快速检测试剂,新冠病毒检测试剂,体外诊断试剂,1,0,3,116,119
植入式脉冲发生器,心脏起搏器,植入式心脏设备,1,1,98,20,119
永久起搏电极,心脏起搏电极,植入式心脏设备,1,2,65,52,119
GentleCath 泌尿导管,泌尿导管,泌尿科器械,1,0,3,116,119
眼科准分子激光系统,准分子激光治疗仪,眼科激光设备,1,0,40,79,119
Motiva 圆形丝面乳房植入体,乳房植入体,整形外科植入物,1,0,117,2,119
螺钉,骨科螺钉,骨科植入物,1,0,91,28,119
Novafil 聚丙烯不可吸收缝线,不可吸收缝线,手术缝线,1,0,4,115,119
长期血管内导管,中心静脉导管,血管内导管,1,1,2,116,119
多患者接收器,患者监护接收器,监护设备,1,0,0,119,119
OsseoSpeed TX 牙种植体,牙种植体,口腔科植入物,1,0,119,0,119
双腔植入式心律转复除颤器,植入式除颤器,植入式心脏设备,1,3,25,91,119
Pinnacle 髋臼金属内衬,髋臼内衬,髋关节植入物,1,0,115,4,119
电动吸奶器,吸奶器,妇产科设备,1,0,117,2,119
Powersail 冠状动脉扩张导管,冠状动脉球囊扩张导管,介入性心血管导管,1,1,26,92,119
微创息肉切除圈套器,内镜圈套器,内镜手术器械,1,0,29,90,119
PSN 170 空心纤维透析器,血液透析器,血液净化设备,1,2,7,62,119
Rapidpoint 500 血气分析仪,血气分析仪,体外诊断设备,1,2,0,50,119
耳鼻喉科手术钻（电动或气动，含手柄）,耳鼻喉科手术动力系统,手术动力工具,1,0,1,118,119
旋磨血管成形术导丝,血管介入导丝,血管介入器械,1,7,42,69,119
SITE~RITE 8 超声成像系统（20mm PinPoint GT探头）,超声成像系统,医学影像设备,1,0,0,119,119
SLAP锤 M6/M10 适配器,骨科手术器械适配器,骨科手术器械,1,0,1,118,119
乳房植入体（品牌未知）,乳房植入体,整形外科植入物,1,1,118,0,119
合成吊带网片,外科网片,外科植入物,1,0,119,0,119
T:slim X2 胰岛素泵（带Control-IQ技术）,胰岛素输注泵,胰岛素给药装置,1,0,3,116,119
TAXUS Express2 Atom 紫杉醇洗脱冠状动脉支架系统,药物洗脱冠状动脉支架,冠状动脉支架,1,7,62,50,119
TLX SP 5.5 WT 骨内牙种植体（SLA表面，10mm，RXD）,骨内牙种植体,牙科植入物,1,0,119,0,119
TLX SP 5.5 WT 骨内牙种植体（SLActive表面，12mm，RXD）,骨内牙种植体,牙科植入物,1,0,119,0,119
Transvene RV 植入式自动心律转复除颤器,植入式心律转复除颤器（ICD）,心脏节律管理设备,1,1,96,22,119
人工晶状体（品牌未知）,人工晶状体,眼科植入物,1,0,74,13,119
Cartiva 趾关节半关节假体（品牌未知）,足部关节假体,骨科关节假体,1,0,119,0,119
Oxford 膝关节假体衬垫（品牌未知）,膝关节假体,骨科关节假体,1,0,119,0,119
Vaccess CT 可高压注射植入式输液港（Chronoflex，6F）,植入式静脉输液港,血管通路装置,1,5,96,18,119
Valitude X4 心脏再同步治疗起搏器（CRT-P）,心脏再同步治疗起搏器（CRT-P）,心脏节律管理设备,1,0,81,38,119
Wanda 外周血管成形术导管,外周血管成形术导管,血管介入器械,1,0,4,114,119
硅胶乳房植入体,乳房假体,整形外科植入物,3,2,98,17,118
Identity XL DR 双腔起搏器,植入式心脏起搏器,心脏节律管理设备,2,0,52,66,118
钛合金牙种植体 3.75x7mm,牙种植体,口腔植入物,1,0,118,0,118
ECHELON 45 可植入吻合钉,外科吻合器及组件,外科手术器械,1,0,0,118,118
Healicoil SA 4.5mm 软组织固定锚钉（含2根不可吸收缝线）,软组织固定锚钉,骨科植入物,1,0,36,82,118
优伴记忆笔式胰岛素注射器,胰岛素注射笔,胰岛素给药装置,1,0,21,97,118
Insyte Autoguard 安全型静脉留置针,静脉留置针,血管内导管,1,0,22,12,118
Itrevia 5 VR-T DX 植入式心律转复除颤器（兼容MRI）,植入式心律转复除颤器,心脏节律管理设备,1,2,8,108,118
Kappa 600 DR 植入式脉冲发生器,植入式心脏起搏器,心脏节律管理设备,1,4,80,34,118
Kappa 900 SR 植入式脉冲发生器,植入式心脏起搏器,心脏节律管理设备,1,17,76,25,118
Lapiplasty 2 足踝矫形接骨板系统,足踝矫形接骨板,骨科植入物,1,0,114,4,118
ASR髋关节系统 大号股骨柄适配器 12/14 +5,髋关节股骨柄组件,关节置换植入物,1,2,116,0,118
Life2000 连续呼吸机（院内使用）,有创/无创呼吸机,呼吸支持设备,1,3,31,84,118
LIFEPAK 12 除颤监护仪系列,除颤监护仪,急救与生命支持设备,1,3,0,115,118
LIFEPAK 9 体外直流除颤/心电监护仪,除颤监护仪,急救与生命支持设备,1,14,0,104,118
LIFEPAK Express 自动体外除颤器,自动体外除颤器,急救与生命支持设备,1,1,0,117,118
LIFEPAK 500 自动体外除颤器,自动体外除颤器,急救与生命支持设备,1,2,3,112,118
Mallinckrodt TaperGuard 经口/鼻气管插管,气管插管,气道管理设备,1,0,79,39,118
MaxiMove 患者移位机,患者转运/移位设备,护理与康复设备,1,2,21,79,118
根形骨内种植体 MF5-11375,牙种植体,口腔植入物,1,0,118,0,118
Micro-Vent 牙种植体,牙种植体,口腔植入物,1,0,118,0,118
MicroLok 骨内种植体,牙种植体,口腔植入物,1,0,0,0,118
核24通道人工耳蜗植入系统,人工耳蜗植入系统,听觉植入装置,1,0,64,54,118
NV GXL内衬中性型32mm内径组1杯,髋关节假体,骨科植入物,1,0,111,7,118
PENTAX视频胃镜2.4C 8.0T 1050L,电子内窥镜,内窥镜系统,1,0,0,118,118
PLUM A+输液泵,输液泵,输液管理装置,1,2,13,86,118
POLYFLUX 210H高通量透析器,血液透析器,血液净化装置,1,1,63,54,118
PROPONENT MRI兼容起搏器,心脏起搏器,心脏节律管理装置,1,0,77,41,118
0.8%红细胞试剂RESOLVE Panel A,血型检测试剂,体外诊断试剂,1,0,1,117,118
RECLAIM上拉杆组件,骨科植入器械,骨科手术工具,1,0,2,116,118
RELION CONFIRM血糖检测系统,血糖监测系统,血糖管理装置,1,0,66,52,118
S-ROM M型股骨头36mm +6,髋关节假体,骨科植入物,1,0,112,6,118
小型外周切割球囊,经皮冠状动脉成形术导管,介入导管,1,0,6,112,118
Swan-Ganz双极起搏导管（股动脉插入）,起搏导管,心脏介入导管,1,1,1,116,118
锥形种植体CF 4.3x11.5 SP,牙科种植体,口腔植入物,1,0,118,0,118
ThermaChoice经宫颈球囊导管,子宫热球囊导管,妇科介入器械,1,1,57,60,118
钛Titamax种植体(4.1)3.75x13mm,牙科种植体,口腔植入物,1,0,118,0,118
TLC SP 4.5mm WT SLActive 8mm RXD种植体,牙科种植体,口腔植入物,1,0,118,0,118
UltraCision可重复使用手术手柄54/55,超声手术手柄,手术器械,1,0,2,115,118
未知品牌LCS膝关节股骨部件,膝关节假体,骨科植入物,1,1,113,4,118
未知品牌伯明翰髋关节表面置换头,髋关节假体,骨科植入物,1,2,116,0,118
未知品牌内镜用可植入吻合钉,外科吻合器,手术器械,1,1,12,105,118
AccuGlide 微型角膜刀一次性刀片,角膜手术刀片,眼科手术器械,1,0,118,0,118
ADVIA Centaur XPT 全自动化学发光免疫分析仪,免疫分析系统,体外诊断设备,1,0,0,118,118
Affinity 4 产床框架,产床及配件,妇产科设备,1,0,2,116,118
BD A-Line 动脉采血器,动脉采血装置,血液采集与处理,1,0,0,118,118
BD MaxPlus 耐压延长管带可拆卸无针接头,血管内输液延长管,输液管理,1,0,1,117,118
BiPAP AVAPS 无创呼吸机,无创呼吸机,呼吸治疗设备,1,0,7,111,118
Branemark System MK III 沟槽型 RP 4x10mm 牙种植体,骨内牙种植体,口腔种植体,1,0,118,0,118
Certas 内置阀（仅带储液囊）,脑脊液分流阀,神经外科植入物,1,0,105,13,118
CM Alvim 种植体 4.3x8mm,骨内牙种植体,口腔种植体,1,0,114,4,118
DeVilbiss 吸引器,吸引装置,呼吸与急救设备,1,0,0,118,118
DLT TS 陶瓷股骨头 12/14 锥度 40mm +5.0,髋关节假体组件,骨科植入物,1,0,118,0,118
Durom US 髋臼组件 58/52 R,髋关节假体组件,骨科植入物,1,0,91,1,118
Elite 7cm 弯角附件,动力钻/磨/环钻附件,骨科手术器械,1,0,1,117,118
Emblem 皮下植入式心律转复除颤器,植入式心律转复除颤器,心脏节律管理设备,1,0,78,40,118
Enterprise2 4mmx23mm 无头端颅内支架,颅内神经血管支架,神经介入器械,1,0,31,87,118
Ethilon 尼龙缝线（产品不详）,非吸收性缝线,手术缝合材料,1,0,111,7,118
Evoke 闭环脊髓刺激器,脊髓刺激器,神经调控设备,1,1,117,0,118
ExpressSew III 带钩缝合器,可重复使用缝线/针持器,手术缝合器械,1,0,1,117,118
ANK C/X 骨内根形种植体（B11/D4.5/L11）,骨内牙种植体,牙科植入物,1,0,118,0,118
Accu-Chek 血糖检测系统,血糖监测系统,糖尿病管理设备,1,0,47,70,118
Accu-Chek Insight Flex 皮下输注管路,胰岛素输注管路,胰岛素给药装置,1,0,9,109,118
通用外科锯片,外科手术锯片,手术动力工具及附件,1,0,3,115,118
USPO2脉搏血氧仪电缆套件,脉搏血氧仪配件,患者监护设备,1,0,0,118,118
VCL+ VIO可吸收合成缝线,可吸收缝线,手术缝合材料,1,0,9,109,118
EndoEye高清腹腔镜（10mm，0度，可高压灭菌）,视频腹腔镜,内窥镜系统,1,0,0,118,118
Vigila 1CR 65 CE植入式心律转复除颤器电极,ICD电极导线,心脏节律管理设备,1,0,26,92,118
Visera鼻咽喉视频内窥镜,鼻咽喉视频内窥镜,内窥镜系统,1,0,2,116,118
XPS导航系统耳鼻喉刀头,耳鼻喉手术动力刀头,手术动力工具及附件,1,0,1,117,118
Zenith开窗型腹主动脉瘤覆膜支架远端分叉主体,腹主动脉瘤覆膜支架系统,血管介入器械,1,15,87,15,118
BD MaxPlus耐压延长管带可拆卸无针接头,血管内输液管路,输液/输注器械,1,0,1,117,118
半限制型骨水泥膝关节假体,膝关节假体,骨科植入物,2,0,18,99,117
牛心包生物心脏瓣膜,生物心脏瓣膜,心脏瓣膜置换/修复器械,1,15,102,0,117
植入式心律转复除颤器心外膜电极片,植入式除颤器电极,心脏节律管理设备,1,1,70,46,117
皮肤粘合剂系统,外科组织粘合剂/密封剂,外科封闭与止血器械,1,0,94,23,117
无支架生物心脏瓣膜,生物心脏瓣膜,心脏瓣膜置换/修复器械,1,4,107,3,117
新生儿复苏器,新生儿复苏设备,呼吸与急救设备,1,0,0,117,117
关节镜流体灌注/刨削系统,关节镜手术系统,内窥镜手术器械,1,0,1,116,117
妇科盆底修复合成网片,盆底修复网片,妇科手术植入物,1,0,117,0,117
心室辅助系统电池,心室辅助装置配件,循环辅助设备,1,1,1,115,117
血液透析管路,血液透析管路及附件,血液净化设备,1,1,1,115,117
通用外科冲洗管路,外科冲洗/吸引管路,外科手术附件,1,0,6,111,117
病人移位机及吊带,病人转运/移位设备,康复与护理设备,1,7,83,15,117
A族链球菌检测试剂盒,微生物抗原检测试剂,体外诊断试剂,1,0,16,101,117
微脉动透明连接器（血管内给药装置）,血管内给药装置,输液/注射装置,1,2,6,109,117
无创患者追踪器（神经立体定向仪）,神经立体定向设备,神经外科器械,1,0,1,116,117
帕拉迪姆实时胰岛素输注泵（配合有创血糖传感器）,胰岛素输注泵,胰岛素给药装置,1,0,22,95,117
帕拉迪姆实时Revel胰岛素输注泵（传感器增强型）,胰岛素输注泵,胰岛素给药装置,1,2,34,81,117
Pinn骨螺钉（6.5mm×30mm）,骨螺钉,骨科植入物,1,0,117,0,117
Pinnacle髋臼内衬（金属，内径40mm/外径56mm）,髋臼假体组件,关节置换植入物,1,0,115,2,117
Plum XLD输液泵（美国版）,输液泵,输液/注射装置,1,0,1,116,117
电动站立辅助移位机（非交流电源）,患者移位机,患者搬运/移动设备,1,0,2,115,117
Powerflex Pro外周血管成形术导管,血管成形术导管,介入性心血管器械,1,0,9,108,117
Pride电动轮椅,电动轮椅,移动辅助设备,1,7,12,3,117
Prosa脑积水分流阀,脑积水分流装置,神经外科植入物,1,0,113,4,117
PY起搏电极（可伸缩螺旋固定）,心脏起搏电极,心脏节律管理设备,1,1,27,89,117
Replace Select锥形牙种植体（6.0mm×13mm）,牙科种植体,口腔植入物,1,0,115,2,117
S3 PX2-3005交流电可调医院病床,医院病床,病房护理设备,1,0,2,115,117
SAPIEN 3 Ultra Resilia经导管主动脉瓣,经导管主动脉瓣,心脏瓣膜植入物,1,11,95,11,117
Seven XD内六角牙种植体（D5×10mm）,牙科种植体,口腔植入物,1,0,117,0,117
Seven XD内六角牙种植体（D5×8mm）,牙科种植体,口腔植入物,1,0,117,0,117
Simply Legacy2 SBM牙种植体（3.7mm×10mm）,牙科种植体,口腔植入物,1,0,117,0,117
Ti Titamax EX牙种植体（4.1mm×11mm）,牙科种植体,口腔植入物,1,0,115,2,117
骨内牙种植体（三叶草型，5.0x13+4.5mm）,牙种植体,口腔植入物,1,0,114,3,117
超声刀附件（Harmonic ACE）,超声手术刀附件,超声手术器械,1,0,4,113,117
髋关节股骨套筒（SROM）,髋关节假体组件,骨科植入物,1,0,112,5,117
髋臼杯（Depuy ASR）,髋关节假体组件,骨科植入物,1,0,117,0,117
全膝关节假体股骨部件（Depuy）,膝关节假体组件,骨科植入物,1,0,117,0,117
重建手术器械（未知品牌）,手术器械,外科器械,1,0,20,97,117
静脉腔内激光治疗光纤（NeverTouch）,激光治疗光纤,血管介入器械,1,0,19,98,117
植入式心脏再同步治疗除颤器（Vigilant X4）,心脏再同步治疗除颤器,心脏植入式电子设备,1,1,53,63,117
胆道诊断导管（Wallstent）,胆道导管,消化介入器械,1,1,33,83,117
根管治疗马达（带反角手机，X-Smart）,根管治疗设备,口腔治疗设备,1,0,0,117,117
植入式心脏起搏器脉冲发生器（Zenex MRI兼容）,心脏起搏器,心脏植入式电子设备,1,0,108,9,117
2.25mm椎弓根探针,神经外科立体定向器械,神经外科手术器械,1,0,2,115,117
3Dimensions乳腺X线摄影系统,乳腺X线摄影系统,影像诊断设备,1,0,7,110,117
5升便携式制氧机（含血氧监测和高流量功能）,便携式制氧机,呼吸治疗设备,1,2,4,111,117
Attain Ability直型MRI兼容左心室起搏电极,左心室起搏电极,心脏节律管理设备,1,1,58,58,117
Attune股骨打击器,膝关节手术器械,骨科手术器械,1,0,1,116,117
Attune PS后稳定型胫骨垫片（5号，6mm）,膝关节胫骨垫片,关节植入物,1,0,106,11,117
Axiom X3骨内牙种植体（4.6x6.5mm）,骨内牙种植体,口腔种植体,1,0,117,0,117
BLC宽体牙种植体（6.5mm）及SLActive 12mm种植体,骨内牙种植体,口腔种植体,1,0,117,0,117
Brockenbrough房间隔穿刺针,房间隔穿刺器械,心血管介入器械,1,2,31,84,117
Cartiva 10mm跖趾关节软骨置换植入物,跖趾关节植入物,关节植入物,1,0,117,0,117
60:1紧凑型气动钻减速器,气动钻减速器,手术动力工具及附件,1,0,2,115,117
Constellation超声乳化仪,超声乳化仪,眼科手术设备,1,0,18,98,117
植入式永久脉冲发生器,心脏起搏器,心脏节律管理设备,2,2,67,47,116
罗氏采血笔,采血装置,血糖监测耗材,2,0,3,113,116
抗菌敷料/贴片,抗菌敷料,伤口护理与感染控制产品,1,3,75,13,116
骨科缆线张紧器,骨科手术器械,骨科手术工具与器械,1,0,5,111,116
石膏锯,动力锯及附件,骨科手术动力工具,1,0,8,108,116
人工椎间盘,人工椎间盘,脊柱植入物,1,2,114,0,116
三维成形环,瓣膜成形环,心脏瓣膜修复植入物,1,5,109,2,116
血细胞分析仪,血细胞分析仪,临床检验分析仪器,1,0,0,116,116
全自动生化分析系统,生化分析仪,临床检验分析仪器,1,0,2,114,116
自动持续气道正压通气呼吸机,睡眠呼吸治疗设备,呼吸治疗与通气支持设备,1,0,23,93,116
植入式心脏起搏器,心脏起搏器,心脏节律管理植入物,1,0,108,8,116
血袋系统,血袋与输血器具,输血与血液处理耗材,1,0,0,108,116
温度控制射频消融导管,心脏消融导管,心脏电生理介入器械,1,0,7,109,116
电动病床,电动病床,医院病房护理设备,1,0,0,116,116
手动轮椅,手动轮椅,移动辅助与康复设备,1,2,101,4,116
隐形矫治系统,正畸矫治器,口腔正畸产品,1,0,116,0,116
腹腔镜,腹腔镜系统,内窥镜手术器械,1,0,1,115,116
骨内根形种植体（ANK C/X，B8/D4.5/L8）,牙种植体,口腔植入物,1,0,116,0,116
三刃钻头（3.2mm，针尖，145mm）,钻头,手术动力工具配件,1,0,39,77,116
